狐皮	青丘山1-2	一品武力丹 一品法术丹
天仙花	 蓬莱城跌水崖(1)	天罡拳套 天罡剑 天罡弓 天罡锤 天罡杖 天罡法冠 天罡法袍 天罡战靴 天罡护符

不灭灯	 蓬莱城天境(15)	天罡拳套 天罡剑 天罡弓 天罡锤 天罡杖 天罡战魂 天罡元神 天罡法冠 天罡法袍 天罡战靴 天罡护符

仙宝石	 蓬莱城天境(11)	天罡拳套 天罡剑 天罡弓 天罡锤 天罡杖 天罡战魂 天罡元神 天罡法冠 天罡法袍 天罡战靴 天罡护符

云纹金钗	 蓬莱城跌水崖(2)	天罡拳套 天罡剑 天罡弓 天罡锤 天罡杖

火焰宝石	 蓬莱城东瀛(2)	 天罡战魂 天罡元神 天罡法冠 天罡法袍 天罡战靴 天罡护符

绝色玉	 蓬莱城东瀛(11)	 天罡战魂 天罡元神

蝎刺	 水陆道场8	 乾坤弓 乾坤剑 乾坤拳套 乾坤杖 乾坤锤 乾坤护符 乾坤法袍 乾坤法冠 乾坤战靴

仙人刺	 奈何桥5	 乾坤元神 乾坤战魂 乾坤弓 乾坤剑 乾坤拳套 乾坤杖 乾坤锤 乾坤护符 乾坤法袍 乾坤法冠 乾坤战靴

血凝爪	 秦始皇陵1	 乾坤元神 乾坤战魂 乾坤弓 乾坤剑 乾坤拳套 乾坤杖 乾坤锤 乾坤护符 乾坤法袍 乾坤法冠 乾坤战靴

龙鳞	 秦始皇陵10	乾坤元神 乾坤战魂

一枝花	 奈何桥15	 乾坤元神 乾坤战魂 乾坤弓 乾坤剑 乾坤拳套 乾坤杖 乾坤锤 乾坤护符 乾坤法袍 乾坤法冠 乾坤战靴

霸王鼎	 秦始皇陵15	 乾坤元神 乾坤战魂

妖果	 水陆道场1	 乾坤元神 乾坤战魂

天苍鹰羽	 天苍草原3层	 腾龙战魂 腾龙元神 腾龙拳套 腾龙戟 腾龙剑 腾龙弓 腾龙杖 腾龙护符 腾龙法袍 腾龙法冠 腾龙战靴

天苍狼爪	 天苍草原6层	 腾龙战魂 腾龙元神 腾龙拳套 腾龙戟 腾龙剑 腾龙弓 腾龙杖 腾龙护符 腾龙法袍 腾龙法冠 腾龙战靴

古木	 古城废墟1层	 腾龙战魂 腾龙元神 腾龙拳套 腾龙戟 腾龙剑 腾龙弓 腾龙杖 腾龙护符 腾龙法袍 腾龙法冠 腾龙战靴

金蚕丝	 蛮荒丛林1层	 腾龙拳套 腾龙戟 腾龙剑 腾龙弓 腾龙杖 腾龙护符 腾龙法袍 腾龙法冠 腾龙战靴

五色土	 蛮荒丛林4层	 腾龙拳套 腾龙戟 腾龙剑 腾龙弓 腾龙杖

骨器	 古城废墟9层	 腾龙战魂 腾龙元神

琥珀	 古城废墟6层	 腾龙战魂 腾龙元神 腾龙护符 腾龙法袍 腾龙法冠 腾龙战靴
